season,date,race_id,location,circuitName,weather,lat,long,driver_id,name,team,enginemanufacturer,resultposition,gridposition,status,completedlaps,comment,nolaps,tracklength
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,11,Kimi Raikkonen,Ferrari,Ferrari,7,11,F,57,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,12,Sebastian Vettel,RedBull,Renault,18,12,DNF,3,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,13,Adrian Sutil,Sauber,Ferrari,11,13,F,56,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,14,Kamui Kobayashi,Caterham,Renault,21,14,DNF,0,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,15,Valtteri Bottas,Williams,Mercedes,5,15,F,57,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,16,Sergio Perez,ForceIndia,Mercedes,10,16,F,57,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,17,Max Chilton,Marussia,Ferrari,13,17,F,55,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,18,Jules Bianchi,Marussia,Ferrari,14,18,F,49,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,19,Marcus Ericsson,Caterham,Renault,17,19,DNF,27,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,20,Esteban Gutierrez,Sauber,Ferrari,12,20,F,56,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,21,Pastor Maldonado,LotusF1,Renault,16,21,DNF,29,,57,5303
2014,2014-03-16,1,Melbourne,Albert Park Grand Prix Circuit,"overcast, 19°c (66°f) dry",-37.8497,144.968,22,Romain Grosjean,LotusF1,Renault,15,22,DNF,43,,57,5303
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,1,Lewis Hamilton,Mercedes,Mercedes,1,2,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,2,Daniel Ricciardo,RedBull,Renault,4,13,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,3,Nico Rosberg,Mercedes,Mercedes,2,1,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,4,Kevin Magnussen,McLaren,Mercedes,18,8,DNF,40,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,5,Fernando Alonso,Ferrari,Ferrari,9,9,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,6,Jean-Eric Vergne,ToroRosso,Renault,21,14,DNF,18,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,7,Nico Hulkenberg,ForceIndia,Mercedes,5,11,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,8,Daniil Kvyat,ToroRosso,Renault,11,12,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,9,Felipe Massa,Williams,Mercedes,7,7,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,10,Jenson Button,McLaren,Mercedes,17,6,DNF,55,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,11,Kimi Raikkonen,Ferrari,Ferrari,10,5,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,12,Sebastian Vettel,RedBull,Renault,6,10,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,13,Adrian Sutil,Sauber,Ferrari,22,22,DNF,17,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,14,Kamui Kobayashi,Caterham,Renault,15,18,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,15,Valtteri Bottas,Williams,Mercedes,8,3,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,16,Sergio Perez,ForceIndia,Mercedes,3,4,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,17,Max Chilton,Marussia,Ferrari,13,21,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,18,Jules Bianchi,Marussia,Ferrari,16,19,F,56,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,19,Marcus Ericsson,Caterham,Renault,20,20,DNF,33,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,20,Esteban Gutierrez,Sauber,Ferrari,19,15,DNF,39,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,21,Pastor Maldonado,LotusF1,Renault,14,17,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-06,3,Sakhir,Bahrain International Circuit,dry  ,26.0325,50.5106,22,Romain Grosjean,LotusF1,Renault,12,16,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,1,Lewis Hamilton,Mercedes,Mercedes,1,1,F,54,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,2,Daniel Ricciardo,RedBull,Renault,4,2,F,54,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,3,Nico Rosberg,Mercedes,Mercedes,2,4,F,54,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,4,Kevin Magnussen,McLaren,Mercedes,13,15,F,53,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,5,Fernando Alonso,Ferrari,Ferrari,3,5,F,54,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,6,Jean-Eric Vergne,ToroRosso,Renault,12,9,F,53,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,7,Nico Hulkenberg,ForceIndia,Mercedes,6,8,F,54,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,8,Daniil Kvyat,ToroRosso,Renault,10,13,F,53,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,9,Felipe Massa,Williams,Mercedes,15,6,F,53,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,10,Jenson Button,McLaren,Mercedes,11,12,F,53,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,11,Kimi Raikkonen,Ferrari,Ferrari,8,11,F,54,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,12,Sebastian Vettel,RedBull,Renault,5,3,F,54,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,13,Adrian Sutil,Sauber,Ferrari,22,14,DNF,5,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,14,Kamui Kobayashi,Caterham,Renault,18,18,F,53,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,15,Valtteri Bottas,Williams,Mercedes,7,7,F,54,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,16,Sergio Perez,ForceIndia,Mercedes,9,16,F,54,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,17,Max Chilton,Marussia,Ferrari,19,21,F,52,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,18,Jules Bianchi,Marussia,Ferrari,17,19,F,53,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,19,Marcus Ericsson,Caterham,Renault,20,20,F,52,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,20,Esteban Gutierrez,Sauber,Ferrari,16,17,F,53,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,21,Pastor Maldonado,LotusF1,Renault,14,22,F,53,,54,5451
2014,2014-04-20,4,Shanghai,Shanghai International Circuit,"mostly cloudy , dry  ",31.3389,121.22,22,Romain Grosjean,LotusF1,Renault,21,10,DNF,28,,54,5451
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,1,Lewis Hamilton,Mercedes,Mercedes,17,2,DNF,46,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,2,Daniel Ricciardo,RedBull,Renault,1,6,F,70,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,3,Nico Rosberg,Mercedes,Mercedes,2,1,F,70,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,4,Kevin Magnussen,McLaren,Mercedes,9,12,F,70,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,5,Fernando Alonso,Ferrari,Ferrari,6,7,F,70,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,6,Jean-Eric Vergne,ToroRosso,Renault,8,8,F,70,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,7,Nico Hulkenberg,ForceIndia,Mercedes,5,11,F,70,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,8,Daniil Kvyat,ToroRosso,Renault,16,15,DNF,47,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,9,Felipe Massa,Williams,Mercedes,12,5,DNF,69,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,10,Jenson Button,McLaren,Mercedes,4,9,F,70,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,11,Kimi Raikkonen,Ferrari,Ferrari,10,10,F,70,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,12,Sebastian Vettel,RedBull,Renault,3,3,F,70,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,13,Adrian Sutil,Sauber,Ferrari,13,16,F,69,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,14,Kamui Kobayashi,Caterham,Renault,18,21,DNF,23,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,15,Valtteri Bottas,Williams,Mercedes,7,4,F,70,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,16,Sergio Perez,ForceIndia,Mercedes,11,13,DNF,69,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,17,Max Chilton,Marussia,Ferrari,21,18,DNF,0,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,18,Jules Bianchi,Marussia,Ferrari,22,19,DNF,0,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,19,Marcus Ericsson,Caterham,Renault,20,20,DNF,7,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,20,Esteban Gutierrez,Sauber,Ferrari,14,22,DNF,64,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,21,Pastor Maldonado,LotusF1,Renault,19,17,DNF,21,Race finished behind SC,70,4361
2014,2014-06-08,7,Montreal,Circuit Gilles Villeneuve,temperatures up to 27.6°c  (81.7°f)  wind speeds up to 16.4 kilometres per hour  (10.2mph) ,45.5,-73.5228,22,Romain Grosjean,LotusF1,Renault,15,14,DNF,59,Race finished behind SC,70,4361
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,1,Lewis Hamilton,Mercedes,Mercedes,1,6,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,2,Daniel Ricciardo,RedBull,Renault,3,8,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,3,Nico Rosberg,Mercedes,Mercedes,18,1,DNF,28,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,4,Kevin Magnussen,McLaren,Mercedes,7,5,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,5,Fernando Alonso,Ferrari,Ferrari,6,16,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,6,Jean-Eric Vergne,ToroRosso,Renault,10,10,F,51,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,7,Nico Hulkenberg,ForceIndia,Mercedes,8,4,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,8,Daniil Kvyat,ToroRosso,Renault,9,9,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,9,Felipe Massa,Williams,Mercedes,21,15,DNF,0,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,10,Jenson Button,McLaren,Mercedes,4,3,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,11,Kimi Raikkonen,Ferrari,Ferrari,22,18,DNF,0,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,12,Sebastian Vettel,RedBull,Renault,5,2,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,13,Adrian Sutil,Sauber,Ferrari,13,13,F,51,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,14,Kamui Kobayashi,Caterham,Renault,15,22,F,50,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,15,Valtteri Bottas,Williams,Mercedes,2,14,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,16,Sergio Perez,ForceIndia,Mercedes,11,7,F,51,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,17,Max Chilton,Marussia,Ferrari,16,17,F,50,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,18,Jules Bianchi,Marussia,Ferrari,14,12,F,51,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,19,Marcus Ericsson,Caterham,Renault,19,21,DNF,11,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,20,Esteban Gutierrez,Sauber,Ferrari,20,19,DNF,9,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,21,Pastor Maldonado,LotusF1,Renault,17,20,F,49,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-06,9,Silverstone,Silverstone Circuit,mostly cloudy  with maximum temperatures reaching 21 degrees during the day. ,52.0786,-1.01694,22,Romain Grosjean,LotusF1,Renault,12,11,F,51,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
