,weather,circuitName,lat,long,location,country,driver_id,carno,initials,name,race_id,team,teamcolor,enginemanufacturer,gridposition,status,resultposition,completedlaps,speedtrap,date,season,availablecompounds,comment,nolaps,nolapsplanned,tracklength,"accidents per driver, per season","failures per driver, per season"
27,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,10,22,BUT,Jenson Button,20,McLaren,#FF8700,Honda,16,F,11,56,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,1.0,4.0
28,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,11,7,RAI,Kimi Raikkonen,20,Ferrari,#DC0000,Ferrari,5,DNF,12,40,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,2.0,3.0
29,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,12,5,VET,Sebastian Vettel,20,Ferrari,#DC0000,Ferrari,4,F,3,58,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,1.0,0.0
30,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,16,11,PER,Sergio Perez,20,ForceIndia,#F596C8,Mercedes,14,F,10,57,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,0.0,1.0
31,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,19,9,ERI,Marcus Ericsson,20,Sauber,#9B0000,Ferrari,15,F,8,57,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,2.0,1.0
32,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,21,13,MAL,Pastor Maldonado,20,LotusF1,#E2B007,Mercedes,9,DNF,15,0,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,5.0,4.0
33,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,22,8,GRO,Romain Grosjean,20,LotusF1,#E2B007,Mercedes,8,DNF,14,0,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,3.0,3.0
34,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,25,55,SAI,Carlos Sainz Jnr,20,ToroRosso,#469BFF,Renault,7,F,9,57,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,0.0,7.0
35,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,26,12,NAS,Felipe Nasr,20,Sauber,#9B0000,Ferrari,10,F,5,58,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,0.0,1.0
36,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,27,33,VER,Max Verstappen,20,ToroRosso,#469BFF,Renault,11,DNF,13,32,,2015-03-15,2015,"A2,A3,I,W",,58,58,5303,2.0,2.0
37,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,1,44,HAM,Lewis Hamilton,39,Mercedes,#00D2BE,Mercedes,1,F,2,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,1.0,1.0
38,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2,3,RIC,Daniel Ricciardo,39,RedBull,#1E41FF,Renault,8,F,4,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,0.0,0.0
39,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,3,6,ROS,Nico Rosberg,39,Mercedes,#00D2BE,Mercedes,2,F,1,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,1.0,0.0
40,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,4,20,MAG,Kevin Magnussen,39,Renault,#FFF500,Renault,14,F,12,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,2.0,2.0
41,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,5,14,ALO,Fernando Alonso,39,McLaren,#FF8700,Honda,11,DNF,21,16,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,1.0,2.0
42,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,7,27,HUL,Nico Hulkenberg,39,ForceIndia,#F596C8,Mercedes,10,F,7,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,2.0,2.0
43,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,8,26,KVY,Daniil Kvyat,39,RedBull,#1E41FF,Renault,18,DNF,22,0,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,1.0,5.0
44,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,9,19,MAS,Felipe Massa,39,Williams,#192c4e,Mercedes,6,F,5,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,0.0,2.0
45,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,10,22,BUT,Jenson Button,39,McLaren,#FF8700,Honda,12,F,14,56,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,1.0,5.0
46,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,11,7,RAI,Kimi Raikkonen,39,Ferrari,#DC0000,Ferrari,4,DNF,18,21,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,1.0,2.0
47,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,12,5,VET,Sebastian Vettel,39,Ferrari,#DC0000,Ferrari,3,F,3,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,2.0,1.0
48,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,15,77,BOT,Valtteri Bottas,39,Williams,#192c4e,Mercedes,16,F,8,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,0.0,2.0
49,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,16,11,PER,Sergio Perez,39,ForceIndia,#F596C8,Mercedes,9,F,13,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,0.0,0.0
50,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,19,9,ERI,Marcus Ericsson,39,Sauber,#9B0000,Ferrari,15,DNF,17,38,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,1.0,3.0
51,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,20,21,GUT,Esteban Gutierrez,39,HaasF1Team,#F0D787,Ferrari,20,DNF,20,16,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,1.0,3.0
52,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,22,8,GRO,Romain Grosjean,39,HaasF1Team,#F0D787,Ferrari,19,F,6,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,0.0,3.0
53,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,25,55,SAI,Carlos Sainz Jnr,39,ToroRosso,#469BFF,Ferrari,7,F,9,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,0.0,4.0
54,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,26,12,NAS,Felipe Nasr,39,Sauber,#9B0000,Ferrari,17,F,15,56,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,2.0,2.0
55,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,27,33,VER,Max Verstappen,39,ToroRosso,#469BFF,Ferrari,5,F,10,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,1.0,2.0
56,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,30,30,PAL,Jolyon Palmer,39,Renault,#FFF500,Renault,13,F,11,57,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,2.0,2.0
57,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,31,94,WEH,Pascal Wehrlein,39,ManorMarussia,#6E0000,Mercedes,21,F,16,56,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,3.0,2.0
58,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,32,88,HAR,Rio Haryanto,39,ManorMarussia,#6E0000,Mercedes,22,DNF,19,17,,2016-03-20,2016,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303,2.0,1.0
59,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,1,44,HAM,Lewis Hamilton,60,Mercedes,#00D2BE,Mercedes,1,F,2,57,318.0,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,0.0,0.0
60,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2,3,RIC,Daniel Ricciardo,60,RedBull,#1E41FF,Renault,15,DNF,17,25,303.8,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,1.0,5.0
61,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,4,20,MAG,Kevin Magnussen,60,HaasF1Team,#F0D787,Ferrari,17,DNF,15,46,315.7,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,1.0,4.0
62,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,5,14,ALO,Fernando Alonso,60,McLaren,#FF8700,Honda,12,DNF,14,50,290.8,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,2.0,6.0
63,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,7,27,HUL,Nico Hulkenberg,60,Renault,#FFF500,Renault,11,F,11,56,318.3,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,1.0,5.0
64,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,8,26,KVY,Daniil Kvyat,60,ToroRosso,#469BFF,Renault,9,F,9,56,320.8,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,1.0,3.0
65,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,9,19,MAS,Felipe Massa,60,Williams,#192c4e,Mercedes,7,F,6,57,303.0,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,1.0,1.0
66,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,11,7,RAI,Kimi Raikkonen,60,Ferrari,#DC0000,Ferrari,4,F,4,57,304.3,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,2.0,0.0
67,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,12,5,VET,Sebastian Vettel,60,Ferrari,#DC0000,Ferrari,2,F,1,57,314.6,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,1.0,1.0
68,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,15,77,BOT,Valtteri Bottas,60,Mercedes,#00D2BE,Mercedes,3,F,3,57,316.3,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,0.0,1.0
69,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,16,11,PER,Sergio Perez,60,ForceIndia,#F596C8,Mercedes,10,F,7,56,309.2,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,0.0,1.0
70,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,19,9,ERI,Marcus Ericsson,60,Sauber,#9B0000,Ferrari,14,DNF,18,21,290.7,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,3.0,2.0
71,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,22,8,GRO,Romain Grosjean,60,HaasF1Team,#F0D787,Ferrari,6,DNF,20,13,294.7,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,1.0,2.0
72,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,25,55,SAI,Carlos Sainz Jnr,60,ToroRosso,#469BFF,Renault,8,F,8,56,312.1,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,4.0,4.0
73,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,27,33,VER,Max Verstappen,60,RedBull,#1E41FF,Renault,5,F,5,57,315.3,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,3.0,4.0
74,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,30,30,PAL,Jolyon Palmer,60,Renault,#FFF500,Renault,19,DNF,19,15,295.1,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,1.0,4.0
75,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,33,2,VAN,Stoffel Vandoorne,60,McLaren,#FF8700,Honda,18,F,13,55,306.9,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,3.0,2.0
76,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,34,31,OCO,Esteban Ocon,60,ForceIndia,#F596C8,Mercedes,13,F,10,56,317.6,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,1.0,0.0
77,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,35,99,GIO,Antonio Giovinazzi,60,Sauber,#9B0000,Ferrari,16,F,12,55,298.7,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,1.0,0.0
78,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,36,18,STR,Lance Stroll,60,Williams,#192c4e,Mercedes,20,DNF,16,40,320.3,2017-03-26,2017,"A3,A4,A5,I,W",,57,58,5303,2.0,2.0
79,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,1,44,HAM,Lewis Hamilton,80,Mercedes,#00D2BE,Mercedes,1,F,2,58,315.8,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,0.0,1.0
80,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2,3,RIC,Daniel Ricciardo,80,RedBull,#1E41FF,Renault,8,F,4,58,306.8,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,1.0,7.0
81,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,4,20,MAG,Kevin Magnussen,80,HaasF1Team,#F0D787,Ferrari,5,DNF,17,22,292.7,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,0.0,2.0
82,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,5,14,ALO,Fernando Alonso,80,McLaren,#FF8700,Renault,10,F,5,58,298.5,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,2.0,4.0
83,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,7,27,HUL,Nico Hulkenberg,80,Renault,#FFF500,Renault,7,F,7,58,319.7,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,4.0,3.0
84,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,11,7,RAI,Kimi Raikkonen,80,Ferrari,#DC0000,Ferrari,2,F,3,58,296.6,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,0.0,4.0
85,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,12,5,VET,Sebastian Vettel,80,Ferrari,#DC0000,Ferrari,3,F,1,58,295.1,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,1.0,0.0
86,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,15,77,BOT,Valtteri Bottas,80,Mercedes,#00D2BE,Mercedes,15,F,8,58,318.1,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,0.0,1.0
87,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,16,11,PER,Sergio Perez,80,ForceIndia,#F596C8,Mercedes,12,F,11,58,319.2,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,0.0,2.0
88,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,19,9,ERI,Marcus Ericsson,80,Sauber,#9B0000,Ferrari,17,DNF,19,5,305.6,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,1.0,3.0
89,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,22,8,GRO,Romain Grosjean,80,HaasF1Team,#F0D787,Ferrari,6,DNF,16,24,291.7,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,4.0,1.0
90,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,25,55,SAI,Carlos Sainz Jnr,80,Renault,#FFF500,Renault,9,F,10,58,290.9,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,1.0,1.0
91,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,27,33,VER,Max Verstappen,80,RedBull,#1E41FF,Renault,4,F,6,58,318.6,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,1.0,2.0
92,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,33,2,VAN,Stoffel Vandoorne,80,McLaren,#FF8700,Renault,11,F,9,58,298.3,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,0.0,2.0
93,"overcast, 19°c (66°f) dry",Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,34,31,OCO,Esteban Ocon,80,ForceIndia,#F596C8,Mercedes,14,F,12,58,306.7,2018-03-25,2018,"A4,A5,A6,I,W",,58,58,5303,3.0,2.0
